date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:17	155743/155743	---MCZ	200	added ('OK')	text/html	etag:W/%2263466118-2605f%22	https://htmldemo.net/notron/notron/index.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/index.html	(from )
11:04:17	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Oct%202022%2005:34:18%20GMT	https://htmldemo.net/robots.txt		(from )
11:04:17	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226346624d-47e%22	https://htmldemo.net/notron/notron/assets/img/favicon.ico	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/favicon.ico	(from https://htmldemo.net/notron/notron/index.html)
11:04:18	403264/403264	---MCZ	200	added ('OK')	text/css	etag:W/%226346622a-62740%22	https://htmldemo.net/notron/notron/assets/css/plugins.css	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/css/plugins.css	(from https://htmldemo.net/notron/notron/index.html)
11:04:18	212835/212835	---MCZ	200	added ('OK')	text/css	etag:W/%2263466229-33f63%22	https://htmldemo.net/notron/notron/assets/css/style.css	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/css/style.css	(from https://htmldemo.net/notron/notron/index.html)
11:04:19	1948/1948	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:20%20GMT	https://htmldemo.net/notron/notron/assets/img/logo/logo.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/logo/logo.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:20	51752/51752	---MCZ	200	added ('OK')	text/html	etag:W/%226346610e-ca28%22	https://htmldemo.net/notron/notron/checkout.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/checkout.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:20	45717/45717	---MCZ	200	added ('OK')	text/html	etag:W/%226346611b-b295%22	https://htmldemo.net/notron/notron/my-account.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/my-account.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:20	40272/40272	---MCZ	200	added ('OK')	text/html	etag:W/%226346610e-9d50%22	https://htmldemo.net/notron/notron/cart.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/cart.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:20	39310/39310	---MCZ	200	added ('OK')	text/html	etag:W/%226346612e-998e%22	https://htmldemo.net/notron/notron/wishlist.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/wishlist.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:21	1946/1946	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:22%20GMT	https://htmldemo.net/notron/notron/assets/img/s-product/product.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/s-product/product.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:21	1828/1828	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:22%20GMT	https://htmldemo.net/notron/notron/assets/img/s-product/product2.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/s-product/product2.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:22	147860/147860	---MCZ	200	added ('OK')	text/html	etag:W/%2263466114-24194%22	https://htmldemo.net/notron/notron/index-2.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/index-2.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:22	124095/124095	---MCZ	200	added ('OK')	text/html	etag:W/%2263466114-1e4bf%22	https://htmldemo.net/notron/notron/index-3.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/index-3.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:22	192192/192192	---MCZ	200	added ('OK')	text/html	etag:W/%2263466117-2eec0%22	https://htmldemo.net/notron/notron/index-4.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/index-4.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:23	107292/107292	---MCZ	200	added ('OK')	text/html	etag:W/%226346612b-1a31c%22	https://htmldemo.net/notron/notron/shop.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:23	91325/91325	---MCZ	200	added ('OK')	text/html	etag:W/%2263466125-164bd%22	https://htmldemo.net/notron/notron/shop-fullwidth.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop-fullwidth.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:23	91317/91317	---MCZ	200	added ('OK')	text/html	etag:W/%2263466124-164b5%22	https://htmldemo.net/notron/notron/shop-fullwidth-list.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop-fullwidth-list.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:23	107493/107493	---MCZ	200	added ('OK')	text/html	etag:W/%226346612b-1a3e5%22	https://htmldemo.net/notron/notron/shop-right-sidebar.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop-right-sidebar.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:24	107295/107295	---MCZ	200	added ('OK')	text/html	etag:W/%2263466128-1a31f%22	https://htmldemo.net/notron/notron/shop-right-sidebar-list.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop-right-sidebar-list.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:24	107455/107455	---MCZ	200	added ('OK')	text/html	etag:W/%2263466128-1a3bf%22	https://htmldemo.net/notron/notron/shop-list.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/shop-list.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:24	35752/35752	---MCZ	200	added ('OK')	text/html	etag:W/%2263466104-8ba8%22	https://htmldemo.net/notron/notron/404.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/404.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:25	86446/86446	---MCZ	200	added ('OK')	text/html	etag:W/%226346611e-151ae%22	https://htmldemo.net/notron/notron/product-details.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/product-details.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:25	106254/106254	---MCZ	200	added ('OK')	text/html	etag:W/%2263466121-19f0e%22	https://htmldemo.net/notron/notron/product-sidebar.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/product-sidebar.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:25	74696/74696	---MCZ	200	added ('OK')	text/html	etag:W/%226346611e-123c8%22	https://htmldemo.net/notron/notron/product-grouped.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/product-grouped.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:26	82333/82333	---MCZ	200	added ('OK')	text/html	etag:W/%226346612e-1419d%22	https://htmldemo.net/notron/notron/variable-product.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/variable-product.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:26	51590/51590	---MCZ	200	added ('OK')	text/html	etag:W/%226346610b-c986%22	https://htmldemo.net/notron/notron/blog.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/blog.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:26	53530/53530	---MCZ	200	added ('OK')	text/html	etag:W/%2263466107-d11a%22	https://htmldemo.net/notron/notron/blog-details.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/blog-details.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:26	52209/52209	---MCZ	200	added ('OK')	text/html	etag:W/%2263466107-cbf1%22	https://htmldemo.net/notron/notron/blog-fullwidth.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/blog-fullwidth.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:27	50466/50466	---MCZ	200	added ('OK')	text/html	etag:W/%226346610a-c522%22	https://htmldemo.net/notron/notron/blog-sidebar.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/blog-sidebar.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:27	41071/41071	---MCZ	200	added ('OK')	text/html	etag:W/%2263466104-a06f%22	https://htmldemo.net/notron/notron/about.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/about.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:27	48895/48895	---MCZ	200	added ('OK')	text/html	etag:W/%2263466121-beff%22	https://htmldemo.net/notron/notron/services.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/services.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:28	44328/44328	---MCZ	200	added ('OK')	text/html	etag:W/%2263466111-ad28%22	https://htmldemo.net/notron/notron/faq.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/faq.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:28	37572/37572	---MCZ	200	added ('OK')	text/html	etag:W/%2263466110-92c4%22	https://htmldemo.net/notron/notron/contact.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/contact.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:28	37675/37675	---MCZ	200	added ('OK')	text/html	etag:W/%226346611a-932b%22	https://htmldemo.net/notron/notron/login.html	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/login.html	(from https://htmldemo.net/notron/notron/index.html)
11:04:29	1394/1394	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:30%20GMT	https://htmldemo.net/notron/notron/assets/img/about/shipping1.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/about/shipping1.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:29	1334/1334	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:30%20GMT	https://htmldemo.net/notron/notron/assets/img/about/shipping2.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/about/shipping2.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:29	1622/1622	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:30%20GMT	https://htmldemo.net/notron/notron/assets/img/about/shipping3.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/about/shipping3.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:30	4430/4430	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:31%20GMT	https://htmldemo.net/notron/notron/assets/img/bg/banner1.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/bg/banner1.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:31	2322/2322	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:31%20GMT	https://htmldemo.net/notron/notron/assets/img/bg/banner2.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/bg/banner2.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:31	3872/3872	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:32%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product1.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product1.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:32	10174/10174	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:33%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product2.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product2.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:33	5068/5068	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:34%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product3.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product3.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:33	17376/17376	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:34%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product4.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product4.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:33	6864/6864	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:34%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product5.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product5.webp	(from https://htmldemo.net/notron/notron/index.html)
11:04:34	11174/11174	---M--	200	added ('OK')	image/webp	date:Tue,%2018%20Oct%202022%2005:34:34%20GMT	https://htmldemo.net/notron/notron/assets/img/product/product6.webp	C:/Users/ADMIN/Desktop/COLE%20TEMPLATES/cole%202/htmldemo.net/notron/notron/assets/img/product/product6.webp	(from https://htmldemo.net/notron/notron/index.html)
